formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings
PtCl3,99.929676511955,99.85935302390999,85.72433192686358,84.24753867791843,6
PtBr3,99.78902953586498,99.57805907172997,88.0450070323488,86.21659634317862,6
TiBr3,99.50773558368496,98.87482419127988,92.19409282700423,90.9985935302391,6
TiCl3,99.36708860759494,97.32770745428974,91.42053445850914,90.15471167369901,6
PtI3,99.29676511954993,98.59353023909986,84.59915611814345,83.54430379746836,6
CrCl3,99.15611814345992,98.73417721518987,78.12939521800281,73.27707454289732,6
OsBr4,99.08579465541492,96.20253164556962,89.66244725738397,88.32630098452883,6
OsCl4,98.66385372714487,94.09282700421942,88.88888888888889,86.91983122362869,6
MoCl3,98.59353023909986,94.79606188466948,91.77215189873418,91.56118143459916,6
TcBr4,97.8902953586498,93.53023909985936,94.02250351617441,92.40506329113924,6
TaCl4,97.39803094233474,95.0773558368495,87.41209563994374,84.24753867791843,6
ZrI4,97.39803094233474,94.51476793248945,94.9367088607595,94.51476793248945,6
PtI4,97.25738396624473,97.0464135021097,75.59774964838255,70.88607594936708,6
HfI4,97.18706047819973,93.95218002812939,95.9212376933896,95.35864978902954,6
TaI4,97.18706047819971,94.37412095639944,78.76230661040788,74.82419127988749,6
NbCl4,97.1167369901547,94.51476793248945,86.9901547116737,84.38818565400844,6
NbBr4,96.9057665260197,94.23347398030943,82.55977496483825,78.19971870604782,6
WCl4,96.76511954992966,94.79606188466948,80.9423347398031,78.48101265822784,6
TcCl3,96.69479606188466,91.9831223628692,94.0225035161744,93.67088607594937,6
TiI3,96.48382559774964,93.81153305203938,83.61462728551336,81.57524613220815,6
RuCl3,96.27285513361463,94.79606188466948,93.74120956399437,85.51336146272855,6
UI4,96.27285513361463,93.81153305203938,80.9423347398031,74.54289732770746,6
RhCl3,95.9915611814346,95.0773558368495,95.92123769338959,94.9367088607595,6
RuF4,95.8509142053446,94.65541490857946,82.91139240506328,77.49648382559775,6
PdF3,95.78059071729959,92.68635724331928,88.1153305203938,87.34177215189874,6
WBr4,95.56962025316456,93.24894514767934,75.31645569620252,71.0267229254571,6
IrCl3,95.42897327707453,95.0773558368495,96.41350210970464,95.21800281293952,6
CrBr3,95.42897327707453,93.95218002812939,96.41350210970464,95.9212376933896,6
NbF4,95.14767932489451,90.9985935302391,88.0450070323488,84.81012658227847,6
VCl3,95.0773558368495,93.53023909985936,96.48382559774966,96.0618846694796,6
TcCl4,95.0773558368495,90.85794655414908,96.55414908579465,95.63994374120956,6
IrBr3,95.0070323488045,94.09282700421942,96.9760900140647,95.78059071729957,6
TiI4,94.86638537271449,91.27988748241913,97.39803094233474,94.9367088607595,6
MnF4,94.79606188466948,89.87341772151899,92.9676511954993,91.56118143459916,6
RhBr3,94.72573839662448,93.67088607594937,97.67932489451476,96.48382559774966,6
BiBr3,94.72573839662448,91.27988748241913,89.80309423347398,86.77918424753868,6
PdF4,94.44444444444444,92.54571026722925,75.0351617440225,69.62025316455697,6
NbI4,94.44444444444443,91.9831223628692,74.26160337552743,69.33895921237693,6
FeBr3,94.0225035161744,92.9676511954993,97.81997187060477,97.0464135021097,6
ScCl3,93.74120956399437,92.68635724331928,97.53867791842475,96.90576652601969,6
IrF4,93.38959212376935,91.42053445850914,73.55836849507736,69.05766526019691,6
WI3,93.31926863572434,88.0450070323488,68.14345991561181,52.18002812939522,6
MoCl4,93.17862165963433,90.15471167369901,95.28832630098454,93.95218002812939,6
YCl3,92.75668073136427,91.84247538677918,98.94514767932489,98.31223628691983,6
RuBr3,92.68635724331926,92.12376933895922,87.13080168776372,84.10689170182842,6
NiF3,92.40506329113924,91.56118143459916,94.58509142053445,94.09282700421942,6
NbI3,92.26441631504923,91.56118143459916,90.15471167369901,88.74824191279887,6
HfCl4,92.26441631504923,90.29535864978902,99.29676511954993,99.15611814345992,6
PtF4,91.98312236286921,90.15471167369901,72.9957805907173,68.77637130801688,6
VF4,91.9831223628692,88.60759493670885,91.49085794655414,89.59212376933895,6
